County,City,Town,Address,Store_Name,Store_Type,Latitude,Longitude
서울특별시,강동구,둔촌동,"174-1 B102,B103호",(주)이마트에브리데이 둔촌점,구분없음,37.5215261,127.1368255
서울특별시,강동구,둔촌동,170-1,GS THE FRESH 둔촌포레온점,구분없음,37.5269345,127.1387574
서울특별시,강동구,둔촌동,170-1,하나로마트 둔촌점,구분없음,37.5269345,127.1387574
서울특별시,용산구,용산동6가,69-167 신동아쇼핑,신동아쇼핑센터,쇼핑센터,37.5172474,126.9852079
경상남도,김해시,신문동,506-4,롯데슈퍼 김해신문점,구분없음,35.1955769,128.8150481
경상남도,밀양시,삼문동,720-24,노브랜드 밀양삼문점,대형마트,35.4817623,128.7495707
대구광역시,수성구,신매동,566-3 시지 코오롱하늘채 스카이뷰,롯데슈퍼 대구신매 가맹점,구분없음,35.8395547,128.7040283
인천광역시,부평구,부평동,665-2 부평역해링턴플레이스,GS THE FRESH 부평해링턴점,구분없음,37.4837303,126.7227194
서울특별시,강동구,둔촌동,451-1,롯데슈퍼 강동둔촌점,구분없음,37.5314035,127.1422520
서울특별시,동대문구,이문동,257-42 래미안라그란데아파트 F동 101~4호,GS THE FRESH 이문라그란데점,구분없음,37.6000780,127.0602571
서울특별시,양천구,목동,547-12,GS THE FRESH 양천목2동점,구분없음,37.5442205,126.8701813
서울특별시,성북구,보문동2가,79 신한은행보문동지점,GS THE FRESH 보문역사거리점,그 밖의 대규모점포,37.5858692,127.0185979
경상남도,김해시,삼정동,941 메가마트 김해점,메가마트 김해점,대형마트,35.2264060,128.9008004
부산광역시,동래구,명륜동,185,GS THE FRESH 부산명륜점,구분없음,35.2104956,129.0834660
대구광역시,수성구,노변동,452-2,GS THE FRSH(대구노변점),구분없음,35.8346072,128.6983897
대구광역시,수성구,노변동,452-2,GS THE FRESH(대구노변점),구분없음,35.8346072,128.6983897
부산광역시,동래구,온천동,47-5,GS THE FRESH 온천래미안점,구분없음,35.2223853,129.0809779
경상남도,창원시,의창구,명서동 27 두산위브아파트,GS THE FRESH 창원명서점,그 밖의 대규모점포,35.2527858,128.6444890
충청남도,천안시,동남구,다가동 30 천안극동스타클래스 더퍼스트,GS THR FRESH 천안극동점,구분없음,36.7923538,127.1488819
서울특별시,강동구,고덕동,353-23,고덕비즈밸리 유통판매 복합시설,복합쇼핑몰,37.5662884,127.1575343
서울특별시,서대문구,홍제동,474 홍제역해링턴플레이스,GS THE FRESH 홍제해링턴점,구분없음,37.5897191,126.9474736
서울특별시,강동구,성내동,293-12 바로빌딩,GS THE FRESH 강동성내점,구분없음,37.5315668,127.1255408
세종특별자치시,대평동,668,해들마을 6단지 상가동,GS THE FRESH 세종리버파크점,구분없음,36.4749987,127.2784528
서울특별시,용산구,한강로2가,15-2 나진상가,"나진상가 17,18동",전문점,37.5338904,126.9654128
서울특별시,강서구,마곡동,특별계획구역 CP1,LEWEST A관,그 밖의 대규모점포,37.5738,126.8304
서울특별시,강서구,마곡동,"특별계획구역 CP2, CP3-1, CP3-2",LEWEST B관,그 밖의 대규모점포,37.5738,126.8304
서울특별시,노원구,상계동,453-2 1층,GS THE FRESH 노원비석로점,구분없음,37.6640351,127.0678562
서울특별시,영등포구,신길동,3608 비스타동원,(주)이마트에브리데이 신풍역점,구분없음,37.4996054,126.9092333
부산광역시,수영구,남천동,258-4 남천오피스,GS THE FRESH 부산남천역점,구분없음,35.1404456,129.1068350
인천광역시,미추홀구,학익동,595-28,스타오씨엘 에비뉴Ⅱ,그 밖의 대규모점포,37.4400841,126.6515514
경기도,평택시,가재동,345-8,송탄농협 종합타운 하나로마트,대형마트,37.0499667,127.0821937
경상남도,창원시,성산구,대원동 36-5,GS THE FRESH 창원대원점,그 밖의 대규모점포,35.2344418,128.6517655
부산광역시,동래구,온천동,1248-4 월드메디컬타워,GS THE FRESH 부산미남역점,구분없음,35.2055476,129.0673050
부산광역시,동래구,온천동,1248-4 월드메디컬타워,GS THE FRESH 부산미남역점,구분없음,35.2055476,129.0673050
경상남도,김해시,율하동,1333-4,GS THE FRESH 김해율하점,구분없음,35.1729420,128.8144289
강원특별자치도,양양군,강현면,전진리 7-1 강현농협낙산지점,강현농협 하나로마트 낙산점,구분없음,38.1195212,128.6301817
경기도,의정부시,의정부동,724 의정부역센트럴자이&위브캐슬,GS THE FRESH 의정부센트럴점,구분없음,37.7317211,127.0515955
서울특별시,송파구,문정동,55-6 문정역 마에스트로,GS THE FRESH 문정역점,구분없음,37.4863730,127.1230852
경상북도,구미시,고아읍,원호리 223-3,Market Ville,대형마트,36.1572008,128.3333918
부산광역시,연제구,연산동,1290-4,GS THE FRESH 부산연산점,구분없음,35.1860162,129.0767056
서울특별시,강남구,청담동,109-16 청담범신칼릭스빌2차,GS THE FRESH 청담점,대형마트,37.5267401,127.0517695
서울특별시,서대문구,남가좌동,396 DMC금호리첸시아,DMC금호리첸시아몰,그 밖의 대규모점포,37.5707722,126.9158722
서울특별시,관악구,신림동,240-3,GS THE FRESH 관악신림점,구분없음,37.4702372,126.9386007
경기도,안산시,단원구,고잔동 533,현대타워랜드,그 밖의 대규모점포,37.3187916,126.8337762
서울특별시,도봉구,창동,297-16,GS THE FRESH 창동점,구분없음,37.6536634,127.0414722
서울특별시,광진구,능동,234-1,GS THE FRESH 광진능동점,구분없음,37.5549228,127.0812509
경기도,김포시,구래동,6874-23,GS THE FRESH 김포구래점,구분없음,37.6506000,126.6329432
인천광역시,미추홀구,주안동,1545-2,GS THE FRESH 인천석바위점,구분없음,37.4567099,126.6917449
부산광역시,부산진구,당감동,480-12 무궁화아파트,GS THE FRESH 부산당감점,구분없음,35.1627293,129.0358397
인천광역시,서구,청라동,165-12 지젤엠청라,주식회사 청라지젤엠,그 밖의 대규모점포,37.5336949,126.6557155
부산광역시,부산진구,양정동,386-5,GS THE FRESH 부산양정역점,구분없음,35.1737739,129.0689987
경상남도,진주시,호탄동,740 외 26필지,몰 오브 진주,복합쇼핑몰,35.1600539,128.1129579
경기도,안양시,동안구,비산동 281-1 1단지상가 122호,롯데슈퍼 평촌엘프가맹점,구분없음,37.4075143,126.9437458
부산광역시,북구,구포동,1091,GS THE FRESH 부산구남점,그 밖의 대규모점포,35.1963224,128.9942286
서울특별시,강동구,천호동,423-200,강동밀레니얼 중흥S-클래스 쇼핑센터,쇼핑센터,37.5414447,127.1269881
경기도,광명시,광명3동,150번지 19호 광명크로앙스 지하 2층,(주)이마트에브리데이 광명점,구분없음,37.4788826,126.8575139
충청북도,청주시,흥덕구,가경동 1416 고속버스터미널,청주센트럴시티,쇼핑센터,36.6269791,127.4306589
전북특별자치도,김제시,용지면,부교리 57-22 모다아울렛,모다아울렛,대형마트,35.8171409,126.9932696
경기도,용인시,기흥구,중동 31-5,링크맘,전문점,37.2577579,127.1599724
경상남도,창원시,마산합포구,산호동 10-3 신세계백화점,(주)신세계 마산점,백화점,35.2196117,128.5863598
서울특별시,은평구,신사동,228-5,GS THE FRESH 은평가좌점,구분없음,37.5964706,126.9084637
